(1000, 128, 1) (1000, 128)
param count: 26177
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
epoch=134, train_loss: 0.002, train_l2: 1.137, test_l2: 1.088
epoch=135, train_loss: 0.005, train_l2: 1.547, test_l2: 1.567
epoch=136, train_loss: 0.018, train_l2: 3.427, test_l2: 2.479
epoch=137, train_loss: 0.009, train_l2: 2.680, test_l2: 2.738
epoch=138, train_loss: 0.011, train_l2: 2.707, test_l2: 2.108
epoch=139, train_loss: 0.006, train_l2: 1.791, test_l2: 1.597
epoch=140, train_loss: 0.004, train_l2: 1.477, test_l2: 1.334
epoch=141, train_loss: 0.003, train_l2: 1.508, test_l2: 1.295
epoch=142, train_loss: 0.003, train_l2: 1.305, test_l2: 1.035
epoch=143, train_loss: 0.002, train_l2: 1.132, test_l2: 0.881
epoch=144, train_loss: 0.002, train_l2: 0.992, test_l2: 0.930
epoch=145, train_loss: 0.001, train_l2: 0.838, test_l2: 0.909
epoch=146, train_loss: 0.001, train_l2: 0.830, test_l2: 0.847
epoch=147, train_loss: 0.002, train_l2: 1.079, test_l2: 1.254
epoch=148, train_loss: 0.004, train_l2: 1.497, test_l2: 1.100
epoch=149, train_loss: 0.009, train_l2: 1.986, test_l2: 1.266
epoch=150, train_loss: 0.008, train_l2: 2.254, test_l2: 1.590
epoch=151, train_loss: 0.007, train_l2: 2.308, test_l2: 2.193
epoch=152, train_loss: 0.004, train_l2: 1.711, test_l2: 1.215
epoch=153, train_loss: 0.001, train_l2: 0.861, test_l2: 0.835
epoch=154, train_loss: 0.001, train_l2: 0.931, test_l2: 0.879
epoch=155, train_loss: 0.001, train_l2: 0.815, test_l2: 0.723
epoch=156, train_loss: 0.001, train_l2: 0.799, test_l2: 0.756
epoch=157, train_loss: 0.001, train_l2: 0.805, test_l2: 1.000
epoch=158, train_loss: 0.003, train_l2: 1.121, test_l2: 1.430
epoch=159, train_loss: 0.029, train_l2: 4.341, test_l2: 2.562
epoch=160, train_loss: 0.031, train_l2: 5.070, test_l2: 3.450
epoch=161, train_loss: 0.003, train_l2: 1.191, test_l2: 1.637
epoch=162, train_loss: 0.002, train_l2: 0.810, test_l2: 1.031
epoch=163, train_loss: 0.001, train_l2: 0.842, test_l2: 0.990
epoch=164, train_loss: 0.002, train_l2: 1.014, test_l2: 1.044
epoch=165, train_loss: 0.002, train_l2: 1.122, test_l2: 1.017
epoch=166, train_loss: 0.002, train_l2: 1.114, test_l2: 0.898
epoch=167, train_loss: 0.001, train_l2: 0.989, test_l2: 0.799
epoch=168, train_loss: 0.001, train_l2: 0.786, test_l2: 0.767
epoch=169, train_loss: 0.001, train_l2: 0.608, test_l2: 0.629
epoch=170, train_loss: 0.001, train_l2: 0.659, test_l2: 0.713
epoch=171, train_loss: 0.001, train_l2: 0.764, test_l2: 0.816
epoch=172, train_loss: 0.002, train_l2: 0.881, test_l2: 0.947
epoch=173, train_loss: 0.005, train_l2: 1.718, test_l2: 1.468
epoch=174, train_loss: 0.008, train_l2: 2.324, test_l2: 2.084
epoch=175, train_loss: 0.009, train_l2: 2.338, test_l2: 1.865
epoch=176, train_loss: 0.003, train_l2: 1.107, test_l2: 1.272
epoch=177, train_loss: 0.002, train_l2: 1.147, test_l2: 0.932
epoch=178, train_loss: 0.002, train_l2: 1.240, test_l2: 1.076
epoch=179, train_loss: 0.001, train_l2: 0.676, test_l2: 0.958
epoch=180, train_loss: 0.001, train_l2: 0.775, test_l2: 0.763
epoch=181, train_loss: 0.001, train_l2: 0.774, test_l2: 0.858
epoch=182, train_loss: 0.001, train_l2: 0.787, test_l2: 0.965
epoch=183, train_loss: 0.002, train_l2: 1.051, test_l2: 1.307
epoch=184, train_loss: 0.009, train_l2: 2.122, test_l2: 1.931
epoch=185, train_loss: 0.003, train_l2: 1.415, test_l2: 0.988
epoch=186, train_loss: 0.002, train_l2: 0.925, test_l2: 1.431
epoch=187, train_loss: 0.007, train_l2: 1.571, test_l2: 1.503
epoch=188, train_loss: 0.007, train_l2: 2.308, test_l2: 1.387
epoch=189, train_loss: 0.003, train_l2: 1.377, test_l2: 1.075
epoch=190, train_loss: 0.001, train_l2: 0.803, test_l2: 0.974
epoch=191, train_loss: 0.004, train_l2: 1.479, test_l2: 1.460
epoch=192, train_loss: 0.013, train_l2: 2.970, test_l2: 1.615
epoch=193, train_loss: 0.005, train_l2: 1.898, test_l2: 1.552
epoch=194, train_loss: 0.004, train_l2: 1.128, test_l2: 1.235
epoch=195, train_loss: 0.002, train_l2: 1.153, test_l2: 0.794
epoch=196, train_loss: 0.004, train_l2: 1.632, test_l2: 1.263
epoch=197, train_loss: 0.001, train_l2: 0.895, test_l2: 1.023
epoch=198, train_loss: 0.001, train_l2: 0.641, test_l2: 1.010
epoch=199, train_loss: 0.001, train_l2: 0.754, test_l2: 0.717
epoch=200, train_loss: 0.002, train_l2: 0.894, test_l2: 0.927
epoch=201, train_loss: 0.003, train_l2: 1.374, test_l2: 1.728
epoch=202, train_loss: 0.011, train_l2: 2.847, test_l2: 1.954
epoch=203, train_loss: 0.003, train_l2: 1.536, test_l2: 1.387
epoch=204, train_loss: 0.008, train_l2: 1.782, test_l2: 1.690
epoch=205, train_loss: 0.005, train_l2: 2.031, test_l2: 1.337
epoch=206, train_loss: 0.002, train_l2: 1.275, test_l2: 0.970
epoch=207, train_loss: 0.002, train_l2: 0.914, test_l2: 0.783
epoch=208, train_loss: 0.001, train_l2: 0.873, test_l2: 0.752
epoch=209, train_loss: 0.003, train_l2: 1.181, test_l2: 0.952
epoch=210, train_loss: 0.001, train_l2: 0.578, test_l2: 0.713
epoch=211, train_loss: 0.001, train_l2: 0.526, test_l2: 0.629
epoch=212, train_loss: 0.001, train_l2: 0.725, test_l2: 0.864
epoch=213, train_loss: 0.002, train_l2: 1.016, test_l2: 0.951
epoch=214, train_loss: 0.010, train_l2: 2.190, test_l2: 2.419
epoch=215, train_loss: 0.005, train_l2: 1.541, test_l2: 1.555
epoch=216, train_loss: 0.009, train_l2: 2.399, test_l2: 1.395
epoch=217, train_loss: 0.002, train_l2: 1.223, test_l2: 0.942
epoch=218, train_loss: 0.002, train_l2: 0.961, test_l2: 1.002
epoch=219, train_loss: 0.004, train_l2: 1.212, test_l2: 0.877
epoch=220, train_loss: 0.004, train_l2: 1.463, test_l2: 1.127
epoch=221, train_loss: 0.001, train_l2: 0.762, test_l2: 0.652
epoch=222, train_loss: 0.001, train_l2: 0.548, test_l2: 0.556
epoch=223, train_loss: 0.001, train_l2: 0.505, test_l2: 0.574
epoch=224, train_loss: 0.001, train_l2: 0.638, test_l2: 0.655
epoch=225, train_loss: 0.002, train_l2: 1.107, test_l2: 1.143
epoch=226, train_loss: 0.010, train_l2: 2.343, test_l2: 2.538
epoch=227, train_loss: 0.006, train_l2: 2.124, test_l2: 1.980
epoch=228, train_loss: 0.007, train_l2: 2.174, test_l2: 2.069
epoch=229, train_loss: 0.001, train_l2: 0.800, test_l2: 0.659
epoch=230, train_loss: 0.001, train_l2: 0.827, test_l2: 0.732
epoch=231, train_loss: 0.001, train_l2: 0.823, test_l2: 0.807
epoch=232, train_loss: 0.001, train_l2: 0.902, test_l2: 0.833
epoch=233, train_loss: 0.001, train_l2: 0.639, test_l2: 0.722
epoch=234, train_loss: 0.001, train_l2: 0.768, test_l2: 0.757
epoch=235, train_loss: 0.001, train_l2: 0.837, test_l2: 0.694
epoch=236, train_loss: 0.001, train_l2: 0.778, test_l2: 0.835
epoch=237, train_loss: 0.002, train_l2: 0.960, test_l2: 0.869
epoch=238, train_loss: 0.002, train_l2: 1.050, test_l2: 1.002
epoch=239, train_loss: 0.003, train_l2: 1.233, test_l2: 1.284
